Rank,Title,Theaters,Total Gross,Release Date,Distributor,Release Month
161,The Son,554,449650,2023-01-20 0:00:00,Sony Pictures Classics,January
162,The Essential Church,301,412550,2023-07-28 0:00:00,Atlas Distribution Company,July
163,Mending the Line,403,379890,2023-06-09 0:00:00,Blue Fox Entertainment,June
164,CatVideoFest 2023,37,327584,2023-08-04 0:00:00,Oscilloscope,August
165,Go West,38,340017,2023-07-19 0:00:00,Purdie Distribution,July
166,Terrifier,853,339946,2023-07-19 0:00:00,-,July
167,Selfiee,308,335775,2023-02-24 0:00:00,-,February
168,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,34,335417,2023-12-30 0:00:00,Sony Pictures Entertainment (SPE),December
169,Wild Life,30,326184,2023-04-14 0:00:00,Picturehouse,April
170,Children of the Corn,586,325583,2023-03-03 0:00:00,-,March
171,Waltair Veerayya,350,320000,2023-01-13 0:00:00,-,January
172,The Lesson,268,310746,2023-07-07 0:00:00,-,July
173,Psycho-Pass: Providence,419,309757,2023-07-14 0:00:00,Crunchyroll,July
174,UFC 291: Poirier vs. Gaethje 2,347,308825,2023-07-29 0:00:00,-,July
175,Mirando Al Cielo,680,295539,2023-04-18 0:00:00,Fathom Events,April
176,Joyland,38,302550,2023-04-07 0:00:00,Oscilloscope,April
177,Passages,114,415827,2023-08-04 0:00:00,MUBI,August
178,Southern Gospel,600,293496,2023-03-10 0:00:00,-,March
179,School of Magical Animals,301,288414,2023-03-24 0:00:00,Blue Fox Entertainment,March
180,Dreamin' Wild,402,276672,2023-08-04 0:00:00,Roadside Attractions,August
181,The Eight Mountains,51,302456,2023-04-28 0:00:00,Variance Films,April
182,Every Body,255,273860,2023-06-30 0:00:00,Focus Features,June
183,Empire of Light,436,1177577,2023-12-09 0:00:00,Searchlight Pictures,December
184,Born to Fly,74,277011,2023-04-28 0:00:00,Well Go USA Entertainment,April
185,RRR Fan CelebRRRation2023 Re-release,283,256566,2023-03-03 0:00:00,Variance Films,March
186,Malum,249,221738,2023-03-31 0:00:00,-,March
187,All the Beauty and the Bloodshed,48,500082,2023-11-23 0:00:00,-,November
188,Saint Omer,245,213953,2023-01-13 0:00:00,Neon,January
189,Afire,44,204620,2023-07-14 0:00:00,Sideshow Releasing,July
190,One Fine Morning,49,214470,2023-01-27 0:00:00,Sony Pictures Entertainment (SPE),January
191,Lourdes2022 Re-release,624,197702,2023-02-08 0:00:00,Fathom Events,February
192,When You Finish Saving the World,403,196920,2023-01-20 0:00:00,A24,January
193,Landscape with Invisible Hand,304,193829,2023-08-18 0:00:00,-,August
194,"Lyle, Lyle, Crocodile","4,350",46888441,2023-10-07 0:00:00,Sony Pictures Entertainment (SPE),October
195,The Conformist2023 Re-release,7,180135,2023-01-06 0:00:00,Kino Lorber,January
196,Contempt4k Restoration - 60th Anniversary,8,173816,2023-06-30 0:00:00,Rialto Pictures,June
197,The Wrath of Becky,274,168109,2023-05-26 0:00:00,Quiver Distribution,May
198,The Starling Girl,114,161290,2023-05-12 0:00:00,Bleecker Street Media,May
199,¡Que viva México!,90,161222,2023-03-24 0:00:00,Sony Pictures Entertainment (SPE),March
200,Enys Men,62,189579,2023-03-31 0:00:00,-,March
